Keyword,Score
tepuk,776.2841752362142
apresiasi,772.4611314066761
puji,770.248323239986
tangan,684.1588135191986
gila,679.8831167116188
cinta,364.8891677522645
hati,320.90102611165497
keren,303.7749167862682
cek,294.2448513929354
sukses,262.96215805295367
mata,255.08476169213455
raya,238.48234160242063
dirgahayu,230.28276932280707
mantap,227.47972422707042
angkat,223.30539928288147
admin,215.1031163001547
info,205.2455723018589
semangat,189.9169049672417
jempol,182.21251819371713
yuk,170.42739577361755
tuju,151.09530263046344
moga,143.93577051040398
alhamdulillah,143.14163425236262
aktif,126.48028540008225
bagus,122.02928065967284
badword,112.6520835509641
sedih,94.01134850273186
ayo,87.31303896776421
menang,82.50419721933503
terima,80.24260963962976
gaji,79.18522363819413
akun,67.34900491704433
aktivasi,67.03041568849349
jaya,65.34492338886149
sehat,64.38825544257274
kasih,64.05579070822613
manfaat,60.756296165066935
dok,58.90296903296422
pindah,58.32426257856236
sedu,54.326134026288855
eror,52.120129507155625
mandiri,51.62938134643667
kak,50.92095948362462
susah,46.5606730896778
enak,46.253667395315446
racun,45.61399420025495
amin,45.33359589121394
sih,43.89225974470172
kakak,43.470457338050736
mohon,42.87174811353436
oi,41.64991747298858
bayar,39.243037633954856
skor,37.81414911559423
selamat,37.267471211371394
halo,34.5250066225087
bikin,34.502151175209434
syukur,33.70124861690965
masuk,32.74310462035318
izin,32.17405410767432
lupa,31.835807213393018
baca,31.774695243832113
nyala,31.68507302417934
doa,31.497255186894687
informasi,31.461669641845493
faktur,31.32503493542825
balas,30.52148378495741
tunggak,29.373966501980288
kerja,28.405804334905362
gas,28.40267120343089
otorisasi,27.84915252247679
depan,27.727482896329057
ekstrem,27.20238301929734
sistem,27.169651200145697
mudah,26.20033658732647
sempurna,26.162870942340973
lucu,25.890687180999084
daftar,25.476757080481427
tertawa,25.43649534335995
bismillah,25.41673535899779
banget,25.229349806946562
presiden,24.93750885346136
iur,24.369475485488312
jam,24.345362889725937
benar,24.176966446282144
dukung,24.084557772278302
orang,23.552008441188107
serta,22.77216047561126
sulit,22.466503775587356
unggah,22.465551676930307
nih,21.818948395999897
aplikasi,21.555954304983892
kilau,21.384729810560668
muncul,21.229879408085235
puter,21.053114788851016
lapor,20.998949732042252
ganti,20.521582130741997
tanggal,20.069079815586388
doang,19.903037174497182
kelas,19.60006143461972
kocak,19.581998141145338
gue,19.48133789678147
lowong,19.233640252499825
maju,19.20258375036402
bayi,19.082683371253978
aduh,19.041991373434644
marah,18.962007490873646
pajak,18.622678600938734
lot,18.37779727478025
saran,18.36110906807778
kemarin,18.229632227985125
umur,18.088120895711725
kuat,17.834927521239234
syarat,17.745326065085962
kota,17.565621552059753
malu,17.47206590845167
kartu,17.427796933022908
